year,cpi
1966,26.3
1967,28.15
1968,29.866666666666667
1969,31.916666666666668
1970,33.958333333333336
1971,36.13333333333333
1972,37.325
1973,38.75833333333333
1974,42.36666666666667
1975,47.49166666666667
1976,52.0
1977,56.975
1978,61.75
1979,67.475
1980,74.85833333333333
1981,82.925
1982,92.61666666666666
1983,100.65833333333333
1984,106.975
1985,113.61666666666666
1986,122.16666666666667
1987,130.175
1988,138.625
1989,149.25
1990,162.80833333333334
1991,177.01666666666668
1992,190.05833333333334
1993,201.4
1994,211.025
1995,220.45
1996,228.26666666666668
1997,234.59166666666667
1998,242.125
1999,250.55833333333334
2000,260.75
2001,272.76666666666665
2002,285.6333333333333
2003,297.05833333333334
2004,310.14166666666665
2005,323.225
2006,336.19166666666666
2007,351.06491666666665
2008,364.0715
2009,375.60816666666665
2010,388.42316666666665
2011,400.24125
2012,414.92341666666664
2013,425.1325
