"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","ELDLYPOP","TOT","PC_POP","A","1960",9.229,
"USA","ELDLYPOP","TOT","PC_POP","A","1961",9.303,
"USA","ELDLYPOP","TOT","PC_POP","A","1962",9.358,
"USA","ELDLYPOP","TOT","PC_POP","A","1963",9.394,
"USA","ELDLYPOP","TOT","PC_POP","A","1964",9.446,
"USA","ELDLYPOP","TOT","PC_POP","A","1965",9.496,
"USA","ELDLYPOP","TOT","PC_POP","A","1966",9.542,
"USA","ELDLYPOP","TOT","PC_POP","A","1967",9.598,
"USA","ELDLYPOP","TOT","PC_POP","A","1968",9.648,
"USA","ELDLYPOP","TOT","PC_POP","A","1969",9.71,
"USA","ELDLYPOP","TOT","PC_POP","A","1970",9.806,
"USA","ELDLYPOP","TOT","PC_POP","A","1971",9.901,
"USA","ELDLYPOP","TOT","PC_POP","A","1972",10.014,
"USA","ELDLYPOP","TOT","PC_POP","A","1973",10.158,
"USA","ELDLYPOP","TOT","PC_POP","A","1974",10.316,
"USA","ELDLYPOP","TOT","PC_POP","A","1975",10.509,
"USA","ELDLYPOP","TOT","PC_POP","A","1976",10.676,
"USA","ELDLYPOP","TOT","PC_POP","A","1977",10.848,
"USA","ELDLYPOP","TOT","PC_POP","A","1978",11.008,
"USA","ELDLYPOP","TOT","PC_POP","A","1979",11.168,
"USA","ELDLYPOP","TOT","PC_POP","A","1980",11.314,
"USA","ELDLYPOP","TOT","PC_POP","A","1981",11.427,
"USA","ELDLYPOP","TOT","PC_POP","A","1982",11.563,
"USA","ELDLYPOP","TOT","PC_POP","A","1983",11.703,
"USA","ELDLYPOP","TOT","PC_POP","A","1984",11.821,
"USA","ELDLYPOP","TOT","PC_POP","A","1985",11.943,
"USA","ELDLYPOP","TOT","PC_POP","A","1986",12.08,
"USA","ELDLYPOP","TOT","PC_POP","A","1987",12.228,
"USA","ELDLYPOP","TOT","PC_POP","A","1988",12.321,
"USA","ELDLYPOP","TOT","PC_POP","A","1989",12.431,
"USA","ELDLYPOP","TOT","PC_POP","A","1990",12.518,
"USA","ELDLYPOP","TOT","PC_POP","A","1991",12.575,
"USA","ELDLYPOP","TOT","PC_POP","A","1992",12.614,
"USA","ELDLYPOP","TOT","PC_POP","A","1993",12.659,
"USA","ELDLYPOP","TOT","PC_POP","A","1994",12.667,
"USA","ELDLYPOP","TOT","PC_POP","A","1995",12.682,
"USA","ELDLYPOP","TOT","PC_POP","A","1996",12.674,
"USA","ELDLYPOP","TOT","PC_POP","A","1997",12.618,
"USA","ELDLYPOP","TOT","PC_POP","A","1998",12.55,
"USA","ELDLYPOP","TOT","PC_POP","A","1999",12.471,
"USA","ELDLYPOP","TOT","PC_POP","A","2000",12.429,
"USA","ELDLYPOP","TOT","PC_POP","A","2001",12.384,
"USA","ELDLYPOP","TOT","PC_POP","A","2002",12.35,
"USA","ELDLYPOP","TOT","PC_POP","A","2003",12.362,
"USA","ELDLYPOP","TOT","PC_POP","A","2004",12.364,
"USA","ELDLYPOP","TOT","PC_POP","A","2005",12.402,
"USA","ELDLYPOP","TOT","PC_POP","A","2006",12.455,
"USA","ELDLYPOP","TOT","PC_POP","A","2007",12.557,
"USA","ELDLYPOP","TOT","PC_POP","A","2008",12.752,
"USA","ELDLYPOP","TOT","PC_POP","A","2009",12.916,
"USA","ELDLYPOP","TOT","PC_POP","A","2010",13.086,
"USA","ELDLYPOP","TOT","PC_POP","A","2011",13.272,
"USA","ELDLYPOP","TOT","PC_POP","A","2012",13.743,
"USA","ELDLYPOP","TOT","PC_POP","A","2013",14.124,
"USA","ELDLYPOP","TOT","PC_POP","A","2014",14.501,
"USA","ELDLYPOP","TOT","PC_POP","A","2015",14.862,
"USA","ELDLYPOP","TOT","PC_POP","A","2016",15.236,
"USA","ELDLYPOP","TOT","PC_POP","A","2017",15.622,
"USA","ELDLYPOP","TOT","PC_POP","A","2018",16.026,
