"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LIFEEXP65","MEN","YR","A","1960",12.8,
"USA","LIFEEXP65","MEN","YR","A","1961",13.1,
"USA","LIFEEXP65","MEN","YR","A","1962",12.9,
"USA","LIFEEXP65","MEN","YR","A","1963",12.7,
"USA","LIFEEXP65","MEN","YR","A","1964",13,
"USA","LIFEEXP65","MEN","YR","A","1965",12.9,
"USA","LIFEEXP65","MEN","YR","A","1966",12.8,
"USA","LIFEEXP65","MEN","YR","A","1967",13,
"USA","LIFEEXP65","MEN","YR","A","1968",12.8,
"USA","LIFEEXP65","MEN","YR","A","1969",13,
"USA","LIFEEXP65","MEN","YR","A","1970",13.1,
"USA","LIFEEXP65","MEN","YR","A","1971",13.2,
"USA","LIFEEXP65","MEN","YR","A","1972",13.1,
"USA","LIFEEXP65","MEN","YR","A","1973",13.1,
"USA","LIFEEXP65","MEN","YR","A","1974",13.4,
"USA","LIFEEXP65","MEN","YR","A","1975",13.7,
"USA","LIFEEXP65","MEN","YR","A","1976",13.7,
"USA","LIFEEXP65","MEN","YR","A","1977",13.9,
"USA","LIFEEXP65","MEN","YR","A","1978",14,
"USA","LIFEEXP65","MEN","YR","A","1979",14.2,
"USA","LIFEEXP65","MEN","YR","A","1980",14.1,
"USA","LIFEEXP65","MEN","YR","A","1981",14.3,
"USA","LIFEEXP65","MEN","YR","A","1982",14.5,
"USA","LIFEEXP65","MEN","YR","A","1983",14.4,
"USA","LIFEEXP65","MEN","YR","A","1984",14.5,
"USA","LIFEEXP65","MEN","YR","A","1985",14.5,
"USA","LIFEEXP65","MEN","YR","A","1986",14.6,
"USA","LIFEEXP65","MEN","YR","A","1987",14.7,
"USA","LIFEEXP65","MEN","YR","A","1988",14.7,
"USA","LIFEEXP65","MEN","YR","A","1989",15,
"USA","LIFEEXP65","MEN","YR","A","1990",15.1,
"USA","LIFEEXP65","MEN","YR","A","1991",15.3,
"USA","LIFEEXP65","MEN","YR","A","1992",15.4,
"USA","LIFEEXP65","MEN","YR","A","1993",15.3,
"USA","LIFEEXP65","MEN","YR","A","1994",15.5,
"USA","LIFEEXP65","MEN","YR","A","1995",15.6,
"USA","LIFEEXP65","MEN","YR","A","1996",15.7,
"USA","LIFEEXP65","MEN","YR","A","1997",15.9,
"USA","LIFEEXP65","MEN","YR","A","1998",16,
"USA","LIFEEXP65","MEN","YR","A","1999",16.1,
"USA","LIFEEXP65","MEN","YR","A","2000",16,
"USA","LIFEEXP65","MEN","YR","A","2001",16.2,
"USA","LIFEEXP65","MEN","YR","A","2002",16.3,
"USA","LIFEEXP65","MEN","YR","A","2003",16.5,
"USA","LIFEEXP65","MEN","YR","A","2004",16.9,
"USA","LIFEEXP65","MEN","YR","A","2005",16.9,
"USA","LIFEEXP65","MEN","YR","A","2006",17.2,
"USA","LIFEEXP65","MEN","YR","A","2007",17.4,
"USA","LIFEEXP65","MEN","YR","A","2008",17.4,
"USA","LIFEEXP65","MEN","YR","A","2009",17.7,
"USA","LIFEEXP65","MEN","YR","A","2010",17.7,
"USA","LIFEEXP65","MEN","YR","A","2011",17.8,
"USA","LIFEEXP65","MEN","YR","A","2012",17.9,
"USA","LIFEEXP65","MEN","YR","A","2013",17.9,
"USA","LIFEEXP65","MEN","YR","A","2014",18,
"USA","LIFEEXP65","MEN","YR","A","2015",18,
"USA","LIFEEXP65","MEN","YR","A","2016",18.1,
"USA","LIFEEXP65","MEN","YR","A","2017",18.1,
"USA","LIFEEXP65","MEN","YR","A","2018",18.1,
