"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","LIFEEXP65","WOMEN","YR","A","1960",15.8,
"USA","LIFEEXP65","WOMEN","YR","A","1961",16.1,
"USA","LIFEEXP65","WOMEN","YR","A","1962",16,
"USA","LIFEEXP65","WOMEN","YR","A","1963",16,
"USA","LIFEEXP65","WOMEN","YR","A","1964",16.3,
"USA","LIFEEXP65","WOMEN","YR","A","1965",16.3,
"USA","LIFEEXP65","WOMEN","YR","A","1966",16.2,
"USA","LIFEEXP65","WOMEN","YR","A","1967",16.4,
"USA","LIFEEXP65","WOMEN","YR","A","1968",16.3,
"USA","LIFEEXP65","WOMEN","YR","A","1969",16.5,
"USA","LIFEEXP65","WOMEN","YR","A","1970",17,
"USA","LIFEEXP65","WOMEN","YR","A","1971",16.9,
"USA","LIFEEXP65","WOMEN","YR","A","1972",17,
"USA","LIFEEXP65","WOMEN","YR","A","1973",17.2,
"USA","LIFEEXP65","WOMEN","YR","A","1974",17.5,
"USA","LIFEEXP65","WOMEN","YR","A","1975",18,
"USA","LIFEEXP65","WOMEN","YR","A","1976",18,
"USA","LIFEEXP65","WOMEN","YR","A","1977",18.3,
"USA","LIFEEXP65","WOMEN","YR","A","1978",18.4,
"USA","LIFEEXP65","WOMEN","YR","A","1979",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1980",18.3,
"USA","LIFEEXP65","WOMEN","YR","A","1981",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1982",18.7,
"USA","LIFEEXP65","WOMEN","YR","A","1983",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1984",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1985",18.5,
"USA","LIFEEXP65","WOMEN","YR","A","1986",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1987",18.7,
"USA","LIFEEXP65","WOMEN","YR","A","1988",18.6,
"USA","LIFEEXP65","WOMEN","YR","A","1989",18.8,
"USA","LIFEEXP65","WOMEN","YR","A","1990",18.9,
"USA","LIFEEXP65","WOMEN","YR","A","1991",19.1,
"USA","LIFEEXP65","WOMEN","YR","A","1992",19.2,
"USA","LIFEEXP65","WOMEN","YR","A","1993",18.9,
"USA","LIFEEXP65","WOMEN","YR","A","1994",19,
"USA","LIFEEXP65","WOMEN","YR","A","1995",18.9,
"USA","LIFEEXP65","WOMEN","YR","A","1996",19,
"USA","LIFEEXP65","WOMEN","YR","A","1997",19.2,
"USA","LIFEEXP65","WOMEN","YR","A","1998",19.2,
"USA","LIFEEXP65","WOMEN","YR","A","1999",19.1,
"USA","LIFEEXP65","WOMEN","YR","A","2000",19,
"USA","LIFEEXP65","WOMEN","YR","A","2001",19.2,
"USA","LIFEEXP65","WOMEN","YR","A","2002",19.2,
"USA","LIFEEXP65","WOMEN","YR","A","2003",19.3,
"USA","LIFEEXP65","WOMEN","YR","A","2004",19.6,
"USA","LIFEEXP65","WOMEN","YR","A","2005",19.6,
"USA","LIFEEXP65","WOMEN","YR","A","2006",19.9,
"USA","LIFEEXP65","WOMEN","YR","A","2007",20,
"USA","LIFEEXP65","WOMEN","YR","A","2008",20,
"USA","LIFEEXP65","WOMEN","YR","A","2009",20.3,
"USA","LIFEEXP65","WOMEN","YR","A","2010",20.3,
"USA","LIFEEXP65","WOMEN","YR","A","2011",20.4,
"USA","LIFEEXP65","WOMEN","YR","A","2012",20.5,
"USA","LIFEEXP65","WOMEN","YR","A","2013",20.5,
"USA","LIFEEXP65","WOMEN","YR","A","2014",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2015",20.5,
"USA","LIFEEXP65","WOMEN","YR","A","2016",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2017",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2018",20.7,
