"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HEALTHEXP","TOT","PC_GDP","A","1970",6.247,
"USA","HEALTHEXP","TOT","PC_GDP","A","1971",6.382,
"USA","HEALTHEXP","TOT","PC_GDP","A","1972",6.516,
"USA","HEALTHEXP","TOT","PC_GDP","A","1973",6.531,
"USA","HEALTHEXP","TOT","PC_GDP","A","1974",6.852,
"USA","HEALTHEXP","TOT","PC_GDP","A","1975",7.188,
"USA","HEALTHEXP","TOT","PC_GDP","A","1976",7.435,
"USA","HEALTHEXP","TOT","PC_GDP","A","1977",7.683,
"USA","HEALTHEXP","TOT","PC_GDP","A","1978",7.656,
"USA","HEALTHEXP","TOT","PC_GDP","A","1979",7.786,
"USA","HEALTHEXP","TOT","PC_GDP","A","1980",8.241,
"USA","HEALTHEXP","TOT","PC_GDP","A","1981",8.526,
"USA","HEALTHEXP","TOT","PC_GDP","A","1982",9.212,
"USA","HEALTHEXP","TOT","PC_GDP","A","1983",9.341,
"USA","HEALTHEXP","TOT","PC_GDP","A","1984",9.291,
"USA","HEALTHEXP","TOT","PC_GDP","A","1985",9.515,
"USA","HEALTHEXP","TOT","PC_GDP","A","1986",9.689,
"USA","HEALTHEXP","TOT","PC_GDP","A","1987",9.933,
"USA","HEALTHEXP","TOT","PC_GDP","A","1988",10.322,
"USA","HEALTHEXP","TOT","PC_GDP","A","1989",10.675,
"USA","HEALTHEXP","TOT","PC_GDP","A","1990",11.304,
"USA","HEALTHEXP","TOT","PC_GDP","A","1991",11.979,
"USA","HEALTHEXP","TOT","PC_GDP","A","1992",12.25,
"USA","HEALTHEXP","TOT","PC_GDP","A","1993",12.506,
"USA","HEALTHEXP","TOT","PC_GDP","A","1994",12.428,
"USA","HEALTHEXP","TOT","PC_GDP","A","1995",12.542,
"USA","HEALTHEXP","TOT","PC_GDP","A","1996",12.506,
"USA","HEALTHEXP","TOT","PC_GDP","A","1997",12.414,
"USA","HEALTHEXP","TOT","PC_GDP","A","1998",12.428,
"USA","HEALTHEXP","TOT","PC_GDP","A","1999",12.429,
"USA","HEALTHEXP","TOT","PC_GDP","A","2000",12.542,
